date,high,low,close
12/20/2024,56262674.46,50533162.42,56144453.44
12/21/2024,57046552.61,53759346.74,53799882.84
12/22/2024,54720235.27,52386154.06,53150788.64
12/23/2024,56289313.48,52669263.11,56289313.48
12/24/2024,56875263.86,54657194.78,56621078.49
12/25/2024,56810529.82,55786258.2,56539695.29
12/26/2024,56654933.14,53688565.17,53781007.04
12/27/2024,55371783.34,53587215.48,53691591.27
12/28/2024,55195578.86,53840663.51,55195578.86
12/29/2024,55058038.91,53928073.36,53928073.36
12/30/2024,55474146.05,53641734.85,54046464.4
12/31/2024,55577220.35,53745870.36,54149553.73
1/1/2025,54724813.94,54020491.93,54478338.65
1/2/2025,56673497.8,54579902.89,55815514.74
1/3/2025,58611331.37,55590037.56,58568816.24
1/4/2025,59270789.74,58047809.8,59246729.43
1/5/2025,59241982.37,58453089.51,59199385.89
1/6/2025,60005005.04,58744408.05,59629828.43
1/7/2025,59791703.64,54704375.17,54704375.17
1/8/2025,55200652.42,52985819.47,54142013.2
1/9/2025,54329958.03,51861319.2,52453823.76
1/10/2025,54051137.72,52211542.39,53426880.74
1/11/2025,53982534.25,52551924.7,53662116.21
1/12/2025,53647112.59,52755546.7,52755546.7
1/13/2025,53934013.84,49007584.67,51096105.08
1/14/2025,52921161.59,50952838.89,52773741.72
1/15/2025,56248741.52,52188866.1,56064580.21
1/16/2025,56467068.71,53695906.21,54143747.24
1/17/2025,57481954.14,54223582.13,56841372.61
1/18/2025,57163192.77,53375162.96,53754489.28
1/19/2025,56354237.88,51415931.07,53332176.45
1/20/2025,55728597.28,51804020.39,54086696.91
1/21/2025,54570074.01,52490604.73,54516644.98
1/22/2025,54807385.68,52797336.98,52797336.98
1/23/2025,53886216.38,51870736.75,53886216.38
1/24/2025,55091470.2,53217202.18,53769468.75
1/25/2025,54066065.08,52973570.5,53925852.23
1/26/2025,53688018.96,53688018.96,53688018.96
1/27/2025,52345333.13,49071472.45,51395648.88
1/28/2025,52166000.95,49768850.95,50025751.16
1/29/2025,51181824.99,49941131.22,50924579.28
1/30/2025,53224390.87,50570257.86,53106030.97
1/31/2025,55740633.48,52429037.1,53880794.19
2/1/2025,54250016.97,51258108.64,51258108.64
2/2/2025,51545909.97,46909602.74,46909602.74
2/3/2025,46978066.31,40522804.07,46978066.31
2/4/2025,47027607.83,43141904.02,43778605.36
2/5/2025,46076543.62,44398039.27,45011419.04
2/6/2025,46607412.78,43966498.68,44130859.7
2/7/2025,45354366.37,42255859.57,42255859.57
2/8/2025,43279011.53,42547286.14,42983690.54
2/9/2025,43704566.37,41871741.26,42760709.27
2/10/2025,43851265.05,42024806.88,43430034.96
2/11/2025,44577429.2,42326377.42,42389873.85
2/12/2025,45050991.44,42377402.94,45050991.44
2/13/2025,45065138.07,42705392.05,43337087.57
2/14/2025,44924988.64,43459380.67,43978750.34
2/15/2025,44171373.69,43441987.84,43593003.96
2/16/2025,43880441.88,43240659.28,43367194.58
2/17/2025,45797552.18,43087601.63,44456697.78
2/18/2025,44517581.83,42669547.81,43349415.63
2/19/2025,44619697.1,43512174.05,44556180.4
2/20/2025,44907776.53,44155510.78,44392717.86
2/21/2025,46196772.24,42863570.19,43084404.56
2/22/2025,45474208.01,43336640.17,45119234.46
2/23/2025,46063269.36,44859520.39,45799696.96
2/24/2025,46113169.99,41117481.86,41117481.86
2/25/2025,41161688.82,38717743.84,41078074.79
2/26/2025,40953403.76,37462367.96,38428327.73
2/27/2025,39084969.53,37402482.8,37867631.23
2/28/2025,38172973.65,34875836.25,36616530.94
3/1/2025,37525087.59,35545808.02,36590913.12
3/2/2025,42036677.41,36230507.25,42036677.41
3/3/2025,41615840.74,34699384.93,35429637.71
3/4/2025,35688552.93,33772721.99,35566712.88
3/5/2025,36629170.08,35304860.09,36458797.58
3/6/2025,37554387.2,35812501.15,36207386.43
3/7/2025,36266623.83,34600215.98,34918710.45
3/8/2025,36221194.44,34683073.5,35961656.01
3/9/2025,35978793.68,32722376.04,32722376.04
3/10/2025,34968941.28,30164769.16,30704253.37
3/11/2025,32048942.88,29611950,32010082.1
3/12/2025,31968381.06,30414142.25,31351434.06
3/13/2025,31333754.2,30055737.85,30717349.03
3/14/2025,31660322.39,30503379.97,31429937.79
3/15/2025,31832929.38,31202680.29,31726482.29
3/16/2025,31652236.24,30567706.78,30608789.38
3/17/2025,31841034.14,30843958.14,31680176.81
3/18/2025,31718092.06,31009117.67,31718092.06
3/19/2025,33963676.13,31881273.96,33863993.2
3/20/2025,34043854.71,32260744.49,32529598.02
3/21/2025,32823267.1,32081856.23,32485128.19
3/22/2025,32999675.59,32465812.59,32797052.78
3/23/2025,33330813.85,32729017.83,32834025.55
3/24/2025,34758285.12,32692643.06,34449207.95
3/25/2025,34659124.65,33927015.95,34303270.7
3/26/2025,34525716.83,33176571.38,33296898.24
3/27/2025,33664189.32,33175889.19,33264472.17
3/28/2025,33288614.33,30997444.75,31530506.56
3/29/2025,31694900.5,30118791.9,30118791.9
3/30/2025,30622919.06,29786939.43,29973842.25
3/31/2025,30735653.31,29653740.17,30389357.44
4/1/2025,32121050.9,30377591.32,31981589.1
4/2/2025,31888361.53,30042844.23,30042844.23
4/3/2025,30793856.64,29450197.99,30335968.32
4/4/2025,30666566.41,29882452.73,30467717.99
4/5/2025,30525556.01,29847493.46,30084704.68
4/6/2025,30322199,26277095.13,26277095.13
4/7/2025,27297339.87,24422024.72,26613461.97
4/8/2025,26853434.83,24994895.93,24994895.93
4/9/2025,28186873.48,24055996.62,28122632.76
4/10/2025,28091964.67,25226638.32,25675716.98
4/11/2025,26570894.7,25433903.49,26309760.56
4/12/2025,27842463.49,26023074.49,27726447.8
4/13/2025,27622782.48,26443976.2,26659129.75
4/14/2025,28200165.26,26818605.69,27217189.44
4/15/2025,27676151.33,26746034.47,26746034.47
4/16/2025,26924679.97,26292179.03,26692788.31
4/17/2025,27177400.04,26511682.55,26718598.33
4/18/2025,26935641.12,26625424.35,26869484.18
4/19/2025,27319906.76,26754663.95,27294181.13
4/20/2025,27270244.21,26503180.65,26641844.72
4/21/2025,27731008.97,26434673.69,26532174.31
4/22/2025,29540029.79,26327893.95,29455026
4/23/2025,30604600.35,29532098.87,30395956.53
